Seed,Accuracy,Malicious Precision,Malicious Recall,Malicious F1
10,0.6594166666666667,0.17757868136917068,0.60390625,0.2744541097106338
20,0.6853333333333333,0.18228105906313646,0.559375,0.2749615975422427
30,0.7283333333333334,0.19631901840490798,0.5,0.28193832599118945
40,0.7421666666666666,0.19907100199071,0.46875,0.27945971122496505
50,0.7025833333333333,0.18738049713193117,0.5359375,0.27767658368751263
