run,time,node_id,x,y,speed
5,0.00,0,549.73,219.46,0.00
5,0.00,1,353.42,679.79,0.00
5,0.00,2,10.32,864.60,0.00
5,0.00,3,368.47,128.38,0.00
5,0.00,4,847.61,574.94,0.00
5,0.00,5,294.68,2.54,0.00
5,0.00,6,157.36,302.61,0.00
5,0.00,7,809.82,27.27,0.00
5,0.00,8,610.26,298.70,0.00
5,0.00,9,119.03,161.49,0.00
5,0.00,10,277.98,113.33,0.00
5,0.00,11,125.26,358.81,0.00
5,0.00,12,523.67,654.57,0.00
5,0.00,13,85.74,866.54,0.00
5,0.00,14,983.52,782.44,0.00
5,0.00,15,45.56,123.00,0.00
5,0.00,16,180.24,576.18,0.00
5,0.00,17,759.41,381.23,0.00
5,0.00,18,397.36,401.52,0.00
5,0.00,19,13.14,358.91,0.00
5,0.00,20,200.10,965.72,0.00
5,0.00,21,744.54,983.12,0.00
5,0.00,22,220.60,356.94,0.00
5,0.00,23,926.23,945.03,0.00
5,0.00,24,870.19,469.02,0.00
5,0.00,25,246.02,259.10,0.00
5,0.00,26,592.18,516.29,0.00
5,0.00,27,254.63,211.04,0.00
5,0.00,28,695.22,743.46,0.00
5,0.00,29,447.59,631.58,0.00
5,0.00,30,827.61,538.29,0.00
5,0.00,31,423.35,957.25,0.00
5,0.00,32,932.34,228.34,0.00
5,0.00,33,351.12,882.86,0.00
5,0.00,34,616.21,642.20,0.00
5,0.00,35,35.96,419.75,0.00
5,0.00,36,191.21,798.54,0.00
5,0.00,37,684.22,192.90,0.00
5,0.00,38,239.71,68.84,0.00
5,0.00,39,770.12,99.14,0.00
5,0.00,40,997.85,332.43,0.00
5,0.00,41,274.53,755.14,0.00
5,0.00,42,235.54,282.57,0.00
5,0.00,43,85.58,926.93,0.00
5,0.00,44,734.46,984.80,0.00
5,0.00,45,900.42,312.03,0.00
5,0.00,46,104.05,122.27,0.00
5,0.00,47,670.01,367.99,0.00
5,0.00,48,335.84,462.12,0.00
5,0.00,49,255.00,803.56,0.00
5,0.00,50,40.52,724.80,0.00
5,0.00,51,530.47,94.93,0.00
5,0.00,52,704.13,966.10,0.00
5,0.00,53,655.36,862.59,0.00
5,0.00,54,671.36,75.88,0.00
5,0.00,55,627.42,222.11,0.00
5,0.00,56,670.73,978.42,0.00
5,0.00,57,963.57,87.82,0.00
5,0.00,58,896.22,175.64,0.00
5,0.00,59,242.04,763.81,0.00
5,0.00,60,856.35,856.69,0.00
5,0.00,61,70.39,282.01,0.00
5,0.00,62,170.23,33.88,0.00
5,0.00,63,476.59,771.38,0.00
5,0.00,64,120.49,773.82,0.00
5,0.00,65,3.98,253.54,0.00
5,0.00,66,24.43,656.51,0.00
5,0.00,67,856.47,630.45,0.00
5,0.00,68,265.13,843.77,0.00
5,0.00,69,741.57,386.14,0.00
5,0.00,70,68.29,714.78,0.00
5,0.00,71,669.70,348.49,0.00
5,0.00,72,597.07,450.01,0.00
5,0.00,73,156.32,760.34,0.00
5,0.00,74,773.09,327.59,0.00
5,0.00,75,504.75,334.99,0.00
5,0.00,76,452.12,341.38,0.00
5,0.00,77,808.32,774.57,0.00
5,0.00,78,660.66,1.48,0.00
5,0.00,79,175.38,508.10,0.00
5,0.00,80,554.16,567.41,0.00
5,0.00,81,675.58,910.08,0.00
5,0.00,82,697.50,342.78,0.00
5,0.00,83,214.80,29.28,0.00
