run,time,node_id,x,y,speed
4,0.00,0,173.45,975.09,0.00
4,0.00,1,32.86,50.17,0.00
4,0.00,2,264.32,91.48,0.00
4,0.00,3,305.94,616.07,0.00
4,0.00,4,547.63,792.65,0.00
4,0.00,5,924.01,861.16,0.00
4,0.00,6,18.23,581.63,0.00
4,0.00,7,400.62,344.83,0.00
4,0.00,8,903.16,286.68,0.00
4,0.00,9,698.79,656.39,0.00
4,0.00,10,252.20,518.93,0.00
4,0.00,11,81.71,962.02,0.00
4,0.00,12,473.33,468.63,0.00
4,0.00,13,370.59,629.16,0.00
4,0.00,14,374.84,191.27,0.00
4,0.00,15,963.81,94.33,0.00
4,0.00,16,627.90,314.68,0.00
4,0.00,17,802.50,165.53,0.00
4,0.00,18,961.54,667.72,0.00
4,0.00,19,74.72,795.33,0.00
4,0.00,20,406.26,205.34,0.00
4,0.00,21,487.57,150.39,0.00
4,0.00,22,318.14,217.64,0.00
4,0.00,23,532.78,571.23,0.00
4,0.00,24,855.73,343.58,0.00
4,0.00,25,145.25,236.92,0.00
4,0.00,26,503.77,105.75,0.00
4,0.00,27,615.57,826.63,0.00
4,0.00,28,521.85,68.52,0.00
4,0.00,29,242.96,637.08,0.00
4,0.00,30,171.47,699.23,0.00
4,0.00,31,526.04,559.44,0.00
4,0.00,32,66.63,256.84,0.00
4,0.00,33,741.92,108.78,0.00
4,0.00,34,3.28,286.50,0.00
4,0.00,35,473.73,420.59,0.00
4,0.00,36,620.88,816.99,0.00
4,0.00,37,624.27,445.90,0.00
4,0.00,38,836.10,19.05,0.00
4,0.00,39,967.13,168.74,0.00
4,0.00,40,586.83,73.69,0.00
4,0.00,41,916.88,703.71,0.00
4,0.00,42,816.66,586.04,0.00
4,0.00,43,433.02,55.48,0.00
4,0.00,44,417.08,66.74,0.00
4,0.00,45,442.29,22.06,0.00
4,0.00,46,207.02,140.60,0.00
4,0.00,47,323.25,485.70,0.00
4,0.00,48,874.58,165.33,0.00
4,0.00,49,315.23,100.50,0.00
4,0.00,50,8.09,47.40,0.00
4,0.00,51,72.36,594.74,0.00
4,0.00,52,989.10,594.81,0.00
4,0.00,53,934.98,327.86,0.00
4,0.00,54,803.51,407.92,0.00
4,0.00,55,14.86,432.27,0.00
4,0.00,56,425.44,163.22,0.00
4,0.00,57,26.89,261.94,0.00
4,0.00,58,406.98,452.68,0.00
4,0.00,59,826.69,335.60,0.00
4,0.00,60,149.04,937.15,0.00
4,0.00,61,344.33,282.57,0.00
4,0.00,62,209.53,273.75,0.00
4,0.00,63,856.14,192.23,0.00
4,0.00,64,880.70,368.43,0.00
4,0.00,65,394.86,273.37,0.00
4,0.00,66,509.98,243.54,0.00
4,0.00,67,810.67,650.82,0.00
4,0.00,68,69.41,896.50,0.00
4,0.00,69,528.88,593.92,0.00
4,0.00,70,59.74,480.92,0.00
4,0.00,71,0.22,549.13,0.00
4,0.00,72,258.04,386.71,0.00
4,0.00,73,709.67,573.02,0.00
4,0.00,74,264.86,93.51,0.00
4,0.00,75,958.72,65.06,0.00
4,0.00,76,981.61,335.99,0.00
4,0.00,77,904.85,270.74,0.00
4,0.00,78,332.14,59.44,0.00
4,0.00,79,115.98,265.80,0.00
4,0.00,80,465.66,393.69,0.00
4,0.00,81,246.44,950.64,0.00
4,0.00,82,354.60,721.58,0.00
4,0.00,83,539.76,161.48,0.00
4,0.00,84,193.43,500.43,0.00
4,0.00,85,51.52,763.20,0.00
4,0.00,86,184.07,987.08,0.00
4,0.00,87,724.38,493.25,0.00
4,0.00,88,536.40,410.89,0.00
4,0.00,89,109.97,85.70,0.00
4,0.00,90,338.01,157.32,0.00
4,0.00,91,61.24,819.41,0.00
4,0.00,92,501.83,538.36,0.00
4,0.00,93,897.23,409.82,0.00
4,0.00,94,301.23,652.44,0.00
4,0.00,95,233.09,368.01,0.00
4,0.00,96,993.22,213.57,0.00
4,0.00,97,290.51,177.38,0.00
4,0.00,98,595.27,729.13,0.00
4,0.00,99,471.09,306.00,0.00
4,0.00,100,769.67,871.43,0.00
4,0.00,101,164.17,657.82,0.00
4,0.00,102,482.53,514.04,0.00
4,0.00,103,148.98,5.59,0.00
4,0.00,104,535.07,63.94,0.00
4,0.00,105,944.01,136.30,0.00
4,0.00,106,883.98,173.49,0.00
4,0.00,107,979.65,470.46,0.00
4,0.00,108,569.15,599.05,0.00
4,0.00,109,48.70,55.41,0.00
4,0.00,110,91.20,845.21,0.00
4,0.00,111,554.19,774.75,0.00
4,0.00,112,206.55,83.37,0.00
4,0.00,113,49.66,763.68,0.00
4,0.00,114,620.89,120.41,0.00
4,0.00,115,79.51,425.97,0.00
4,0.00,116,710.88,16.50,0.00
4,0.00,117,252.08,48.13,0.00
4,0.00,118,179.92,372.39,0.00
4,0.00,119,23.24,693.96,0.00
4,0.00,120,261.81,146.75,0.00
4,0.00,121,489.75,720.72,0.00
4,0.00,122,804.56,47.31,0.00
4,0.00,123,305.97,633.03,0.00
4,0.00,124,8.49,14.41,0.00
4,0.00,125,149.17,186.82,0.00
4,0.00,126,415.60,147.92,0.00
4,0.00,127,497.52,185.81,0.00
4,0.00,128,325.96,206.24,0.00
4,0.00,129,723.83,146.99,0.00
4,0.00,130,765.10,765.68,0.00
4,0.00,131,270.98,628.89,0.00
4,0.00,132,982.07,661.91,0.00
4,0.00,133,22.40,192.17,0.00
4,0.00,134,798.67,209.33,0.00
4,0.00,135,134.17,135.96,0.00
4,0.00,136,812.29,138.89,0.00
4,0.00,137,205.14,656.75,0.00
4,0.00,138,870.73,227.98,0.00
4,0.00,139,938.72,747.62,0.00
4,0.00,140,300.61,833.04,0.00
4,0.00,141,727.22,984.05,0.00
4,0.00,142,47.33,402.49,0.00
4,0.00,143,980.15,755.60,0.00
4,0.00,144,47.74,776.40,0.00
4,0.00,145,673.63,544.81,0.00
4,0.00,146,56.43,25.04,0.00
4,0.00,147,756.46,51.78,0.00
4,0.00,148,286.44,271.74,0.00
4,0.00,149,54.62,558.15,0.00
4,10.00,0,173.45,975.09,7.36
4,10.00,1,32.86,50.17,21.77
4,10.00,2,264.32,91.48,12.59
4,10.00,3,305.94,616.07,23.84
4,10.00,4,547.63,792.65,22.44
4,10.00,5,924.01,861.16,18.83
4,10.00,6,18.23,581.63,7.32
4,10.00,7,400.62,344.83,8.09
4,10.00,8,903.16,286.68,19.10
4,10.00,9,698.79,656.39,7.53
4,10.00,10,252.20,518.93,9.53
4,10.00,11,81.71,962.02,8.16
4,10.00,12,473.33,468.63,12.30
4,10.00,13,370.59,629.16,8.11
4,10.00,14,374.84,191.27,13.55
4,10.00,15,963.81,94.33,24.18
4,10.00,16,627.90,314.68,24.01
4,10.00,17,802.50,165.53,5.76
4,10.00,18,961.54,667.72,14.18
4,10.00,19,74.72,795.33,21.10
4,10.00,20,406.26,205.34,9.86
4,10.00,21,487.57,150.39,10.60
4,10.00,22,318.14,217.64,16.72
4,10.00,23,532.78,571.23,12.91
4,10.00,24,855.73,343.58,8.18
4,10.00,25,145.25,236.92,8.15
4,10.00,26,503.77,105.75,15.85
4,10.00,27,615.57,826.63,7.77
4,10.00,28,521.85,68.52,22.78
4,10.00,29,242.96,637.08,8.96
4,10.00,30,171.47,699.23,6.70
4,10.00,31,526.04,559.44,11.09
4,10.00,32,66.63,256.84,16.20
4,10.00,33,741.92,108.78,11.12
4,10.00,34,3.28,286.50,9.56
4,10.00,35,473.73,420.59,17.52
4,10.00,36,620.88,816.99,18.32
4,10.00,37,624.27,445.90,15.19
4,10.00,38,836.10,19.05,12.52
4,10.00,39,967.13,168.74,11.29
4,10.00,40,586.83,73.69,20.39
4,10.00,41,916.88,703.71,20.22
4,10.00,42,816.66,586.04,6.80
4,10.00,43,433.02,55.48,13.93
4,10.00,44,417.08,66.74,18.71
4,10.00,45,442.29,22.06,19.99
4,10.00,46,207.02,140.60,23.22
4,10.00,47,323.25,485.70,13.19
4,10.00,48,874.58,165.33,12.33
4,10.00,49,315.23,100.50,19.05
4,10.00,50,8.09,47.40,22.00
4,10.00,51,72.36,594.74,9.21
4,10.00,52,989.10,594.81,19.94
4,10.00,53,934.98,327.86,17.27
4,10.00,54,803.51,407.92,12.85
4,10.00,55,14.86,432.27,5.31
4,10.00,56,425.44,163.22,17.61
4,10.00,57,26.89,261.94,10.36
4,10.00,58,406.98,452.68,20.74
4,10.00,59,826.69,335.60,10.69
4,10.00,60,149.04,937.15,12.00
4,10.00,61,344.33,282.57,19.56
4,10.00,62,209.53,273.75,12.05
4,10.00,63,856.14,192.23,19.17
4,10.00,64,880.70,368.43,15.28
4,10.00,65,394.86,273.37,12.30
4,10.00,66,509.98,243.54,17.23
4,10.00,67,810.67,650.82,6.33
4,10.00,68,69.41,896.50,18.14
4,10.00,69,528.88,593.92,13.83
4,10.00,70,59.74,480.92,20.98
4,10.00,71,0.22,549.13,13.50
4,10.00,72,258.04,386.71,22.67
4,10.00,73,709.67,573.02,5.35
4,10.00,74,264.86,93.51,20.46
4,10.00,75,958.72,65.06,5.91
4,10.00,76,981.61,335.99,13.99
4,10.00,77,904.85,270.74,6.66
4,10.00,78,332.14,59.44,17.94
4,10.00,79,115.98,265.80,18.92
4,10.00,80,465.66,393.69,14.31
4,10.00,81,246.44,950.64,21.76
4,10.00,82,354.60,721.58,19.46
4,10.00,83,539.76,161.48,21.13
4,10.00,84,193.43,500.43,9.62
4,10.00,85,51.52,763.20,18.60
