run,time,node_id,x,y,speed
2,0.00,0,264.61,562.52,0.00
2,0.00,1,457.11,524.18,0.00
2,0.00,2,555.75,99.20,0.00
2,0.00,3,486.38,35.56,0.00
2,0.00,4,34.47,181.53,0.00
2,0.00,5,2.20,545.46,0.00
2,0.00,6,349.32,717.22,0.00
2,0.00,7,666.39,673.18,0.00
2,0.00,8,670.28,223.73,0.00
2,0.00,9,228.04,473.94,0.00
2,0.00,10,60.54,968.30,0.00
2,0.00,11,573.32,682.48,0.00
2,0.00,12,728.41,22.75,0.00
2,0.00,13,828.19,999.15,0.00
2,0.00,14,243.91,807.16,0.00
2,0.00,15,185.80,55.84,0.00
2,0.00,16,580.25,191.81,0.00
2,0.00,17,466.38,338.33,0.00
2,0.00,18,51.74,310.14,0.00
2,0.00,19,626.08,169.54,0.00
2,0.00,20,445.76,998.46,0.00
2,0.00,21,520.76,401.68,0.00
2,0.00,22,614.53,283.96,0.00
2,0.00,23,765.47,750.85,0.00
2,0.00,24,871.97,189.54,0.00
2,0.00,25,534.10,275.79,0.00
2,0.00,26,252.68,747.82,0.00
2,0.00,27,343.92,474.40,0.00
2,0.00,28,110.02,734.18,0.00
2,0.00,29,399.18,451.72,0.00
2,0.00,30,759.17,545.35,0.00
2,0.00,31,921.35,785.80,0.00
2,0.00,32,930.12,588.18,0.00
2,0.00,33,236.83,330.44,0.00
2,0.00,34,333.63,332.65,0.00
2,0.00,35,570.16,192.89,0.00
2,0.00,36,979.25,434.87,0.00
2,0.00,37,586.41,660.16,0.00
2,0.00,38,973.22,987.39,0.00
2,0.00,39,696.72,754.88,0.00
2,0.00,40,830.63,962.17,0.00
2,0.00,41,77.14,856.01,0.00
2,0.00,42,41.38,971.18,0.00
2,0.00,43,631.50,928.11,0.00
2,0.00,44,999.20,775.53,0.00
2,0.00,45,680.65,685.13,0.00
2,0.00,46,885.84,957.35,0.00
2,0.00,47,830.99,498.79,0.00
2,0.00,48,728.84,442.32,0.00
2,0.00,49,737.40,874.37,0.00
2,0.00,50,374.34,726.08,0.00
2,0.00,51,142.38,433.97,0.00
2,0.00,52,143.37,902.31,0.00
2,0.00,53,653.21,423.97,0.00
2,0.00,54,249.03,433.65,0.00
2,0.00,55,99.82,115.00,0.00
2,0.00,56,446.62,611.77,0.00
2,0.00,57,410.93,362.30,0.00
2,0.00,58,155.34,761.86,0.00
2,0.00,59,898.39,13.93,0.00
2,0.00,60,286.25,733.44,0.00
2,0.00,61,862.83,668.75,0.00
2,0.00,62,788.50,891.60,0.00
2,0.00,63,352.90,781.46,0.00
2,0.00,64,710.12,439.96,0.00
2,0.00,65,160.19,917.94,0.00
2,0.00,66,398.53,370.54,0.00
2,0.00,67,788.86,544.11,0.00
2,0.00,68,468.21,571.97,0.00
2,0.00,69,792.29,210.61,0.00
2,0.00,70,194.73,623.42,0.00
2,0.00,71,298.21,74.00,0.00
2,0.00,72,660.77,866.32,0.00
2,0.00,73,394.86,872.05,0.00
2,0.00,74,178.15,568.16,0.00
2,0.00,75,699.49,435.32,0.00
2,0.00,76,707.71,555.80,0.00
2,0.00,77,833.40,920.18,0.00
2,0.00,78,652.51,357.62,0.00
2,0.00,79,166.84,572.22,0.00
2,0.00,80,291.40,33.79,0.00
2,0.00,81,27.62,173.77,0.00
2,0.00,82,373.57,482.57,0.00
2,0.00,83,635.13,38.60,0.00
2,0.00,84,612.28,432.58,0.00
2,0.00,85,416.94,154.88,0.00
2,0.00,86,946.84,703.93,0.00
2,0.00,87,44.87,818.73,0.00
2,0.00,88,371.70,966.98,0.00
2,0.00,89,642.31,186.51,0.00
2,0.00,90,119.74,115.04,0.00
2,0.00,91,49.99,157.12,0.00
2,0.00,92,325.89,861.81,0.00
2,0.00,93,321.39,389.41,0.00
2,0.00,94,611.33,329.45,0.00
2,0.00,95,850.89,940.18,0.00
2,0.00,96,99.11,705.05,0.00
2,0.00,97,749.25,320.08,0.00
2,0.00,98,185.06,994.69,0.00
2,0.00,99,747.90,313.21,0.00
2,0.00,100,920.23,427.43,0.00
2,0.00,101,615.03,569.41,0.00
2,0.00,102,926.19,302.15,0.00
2,0.00,103,253.78,325.18,0.00
2,0.00,104,997.25,929.16,0.00
2,0.00,105,787.69,989.55,0.00
2,0.00,106,386.86,737.67,0.00
2,0.00,107,472.03,682.74,0.00
2,0.00,108,240.06,283.38,0.00
2,0.00,109,374.37,237.02,0.00
2,0.00,110,653.71,824.50,0.00
2,0.00,111,326.20,849.16,0.00
2,0.00,112,375.29,608.34,0.00
2,0.00,113,935.37,125.00,0.00
2,0.00,114,550.72,346.96,0.00
2,0.00,115,262.03,233.62,0.00
2,0.00,116,841.90,212.09,0.00
2,0.00,117,950.49,113.89,0.00
2,0.00,118,447.16,60.78,0.00
2,0.00,119,520.70,551.20,0.00
2,0.00,120,558.29,761.93,0.00
2,0.00,121,53.41,894.17,0.00
2,0.00,122,806.53,195.59,0.00
2,0.00,123,503.00,969.72,0.00
2,0.00,124,728.46,496.55,0.00
2,0.00,125,945.26,602.61,0.00
2,0.00,126,36.70,850.18,0.00
2,0.00,127,488.79,58.33,0.00
2,0.00,128,179.65,446.87,0.00
2,0.00,129,462.02,472.15,0.00
2,0.00,130,421.55,184.20,0.00
2,0.00,131,898.78,763.76,0.00
2,0.00,132,720.26,695.15,0.00
2,0.00,133,95.67,663.31,0.00
2,0.00,134,771.49,662.02,0.00
2,0.00,135,177.52,408.72,0.00
2,0.00,136,356.84,358.79,0.00
2,0.00,137,562.40,606.89,0.00
2,0.00,138,695.69,629.19,0.00
2,0.00,139,672.83,440.72,0.00
2,0.00,140,124.76,922.70,0.00
2,0.00,141,387.87,834.83,0.00
2,0.00,142,830.61,392.34,0.00
2,0.00,143,856.48,521.51,0.00
2,0.00,144,496.03,318.60,0.00
2,0.00,145,826.25,346.88,0.00
2,0.00,146,871.67,832.67,0.00
2,0.00,147,439.24,121.41,0.00
2,0.00,148,514.45,74.83,0.00
2,0.00,149,792.44,168.33,0.00
2,10.00,0,264.61,562.52,21.54
2,10.00,1,457.11,524.18,12.47
2,10.00,2,555.75,99.20,16.49
2,10.00,3,486.38,35.56,20.82
2,10.00,4,34.47,181.53,22.73
2,10.00,5,2.20,545.46,10.40
2,10.00,6,349.32,717.22,13.68
2,10.00,7,666.39,673.18,11.06
2,10.00,8,670.28,223.73,23.23
2,10.00,9,228.04,473.94,19.08
2,10.00,10,60.54,968.30,5.53
2,10.00,11,573.32,682.48,11.22
2,10.00,12,728.41,22.75,7.44
2,10.00,13,828.19,999.15,13.66
2,10.00,14,243.91,807.16,7.57
2,10.00,15,185.80,55.84,7.42
2,10.00,16,580.25,191.81,6.73
2,10.00,17,466.38,338.33,18.43
2,10.00,18,51.74,310.14,14.01
2,10.00,19,626.08,169.54,11.45
2,10.00,20,445.76,998.46,13.34
2,10.00,21,520.76,401.68,22.98
2,10.00,22,614.53,283.96,20.65
2,10.00,23,765.47,750.85,23.56
2,10.00,24,871.97,189.54,9.82
2,10.00,25,534.10,275.79,15.83
2,10.00,26,252.68,747.82,7.57
2,10.00,27,343.92,474.40,13.02
2,10.00,28,110.02,734.18,17.25
2,10.00,29,399.18,451.72,24.25
2,10.00,30,759.17,545.35,13.51
2,10.00,31,921.35,785.80,22.38
2,10.00,32,930.12,588.18,12.77
2,10.00,33,236.83,330.44,22.47
