run,time,node_id,x,y,speed
3,0.00,0,790.63,903.80,0.00
3,0.00,1,242.65,144.24,0.00
3,0.00,2,446.40,876.20,0.00
3,0.00,3,195.20,763.50,0.00
3,0.00,4,284.24,523.82,0.00
3,0.00,5,908.15,944.95,0.00
3,0.00,6,288.08,317.66,0.00
3,0.00,7,733.19,360.60,0.00
3,0.00,8,372.24,439.57,0.00
3,0.00,9,652.08,572.77,0.00
3,0.00,10,756.70,70.42,0.00
3,0.00,11,699.17,44.81,0.00
3,0.00,12,498.37,812.22,0.00
3,0.00,13,623.70,577.15,0.00
3,0.00,14,541.87,607.90,0.00
3,0.00,15,89.29,410.75,0.00
3,0.00,16,23.33,355.81,0.00
3,0.00,17,525.83,503.12,0.00
3,0.00,18,194.63,488.51,0.00
3,0.00,19,591.85,857.04,0.00
3,0.00,20,792.87,745.92,0.00
3,0.00,21,835.71,934.07,0.00
3,0.00,22,724.97,647.51,0.00
3,0.00,23,801.49,200.87,0.00
3,0.00,24,20.40,500.90,0.00
3,0.00,25,139.12,251.08,0.00
3,0.00,26,689.75,682.69,0.00
3,0.00,27,558.14,191.69,0.00
3,0.00,28,469.62,313.29,0.00
3,0.00,29,342.62,635.68,0.00
3,0.00,30,363.50,594.46,0.00
3,0.00,31,593.29,79.52,0.00
3,0.00,32,757.85,387.58,0.00
3,0.00,33,318.76,341.46,0.00
3,0.00,34,183.84,785.13,0.00
3,0.00,35,881.49,915.40,0.00
3,0.00,36,393.37,969.84,0.00
3,0.00,37,642.35,26.99,0.00
3,0.00,38,809.02,358.56,0.00
3,0.00,39,425.01,530.86,0.00
3,0.00,40,801.74,975.25,0.00
3,0.00,41,835.28,819.19,0.00
3,0.00,42,817.54,272.33,0.00
3,0.00,43,251.52,5.58,0.00
3,0.00,44,83.13,598.50,0.00
3,0.00,45,12.92,560.58,0.00
3,0.00,46,805.87,392.68,0.00
3,0.00,47,100.31,54.06,0.00
3,0.00,48,990.69,350.48,0.00
3,0.00,49,138.93,457.47,0.00
3,0.00,50,694.34,529.23,0.00
3,0.00,51,285.27,639.12,0.00
3,0.00,52,632.00,941.36,0.00
3,0.00,53,293.75,287.98,0.00
3,0.00,54,589.11,737.18,0.00
3,0.00,55,583.90,813.30,0.00
3,0.00,56,910.09,697.20,0.00
3,0.00,57,877.56,561.80,0.00
3,0.00,58,140.52,867.78,0.00
3,0.00,59,54.64,914.73,0.00
3,0.00,60,618.54,438.71,0.00
3,0.00,61,815.68,560.04,0.00
3,0.00,62,501.36,770.75,0.00
3,0.00,63,750.90,944.87,0.00
