run,time,node_id,energy,trust,drop_rate,mobility,forward_ratio,delay,degree,packets_received,packets_forwarded,packets_dropped,route_hits,label,attack
1,0.0,0,0.9082475988862342,0.8962620170706264,0.009554140127388535,0.0,0.9331210191082803,18.93692944612923,31.0,314,293,3,15,0,normal
1,0.0,1,0.8468073687914909,0.9236228270300695,0.0375,0.0,0.9625,20.636033670305604,14.0,80,77,3,4,0,normal
1,0.0,2,0.9553109453608997,0.9245955165589279,0.008771929824561403,0.0,0.4824561403508772,18.675408234299834,24.0,114,55,1,3,0,normal
1,0.0,3,0.8721720367447758,0.8467884917606024,0.028350515463917526,0.0,0.8247422680412371,16.541023989591867,30.0,388,320,11,17,0,normal
1,0.0,4,0.9751071531430022,0.9290811808134037,0.075,0.0,0.425,22.51548092216295,15.0,40,17,3,1,0,normal
1,0.0,5,0.8528726494717797,0.9256940374819767,0.010256410256410256,0.0,0.8923076923076924,16.385141812007475,21.0,195,174,2,9,0,normal
1,0.0,6,0.8672313551630245,0.9530336541445927,0.018315018315018316,0.0,0.8461538461538461,19.721715443395222,24.0,273,231,5,12,0,normal
1,0.0,7,0.8496190103956243,0.9467690503925403,0.0,0.0,0.6779661016949152,17.6441691855859,15.0,59,40,0,2,0,normal
1,0.0,8,0.8818497677047885,0.9487236033586428,0.022900763358778626,0.0,0.7099236641221374,15.343775781132607,23.0,131,93,3,5,0,normal
1,0.0,9,0.9598234651190704,0.9383699115423627,0.015873015873015872,0.0,0.753968253968254,16.647920088437193,28.0,252,190,4,10,0,normal
1,0.0,10,0.96504524153778,0.8953948351895498,0.020289855072463767,0.0,0.9797101449275363,17.691652223465216,35.0,345,338,7,18,0,normal
1,0.0,11,0.8767255994881598,0.9485524295925319,0.0045662100456621,0.0,0.9041095890410958,15.675030779955481,21.0,219,198,1,10,0,normal
1,0.0,12,0.9173275356092491,0.9123220576163702,0.011560693641618497,0.0,0.8786127167630058,14.545647703866695,37.0,346,304,4,16,0,normal
1,0.0,13,0.9260043604451762,1.0,0.010638297872340425,0.0,0.8191489361702128,17.22058288668529,19.0,94,77,1,4,0,normal
1,0.0,14,0.8980906680804538,0.8882701049052952,0.031791907514450865,0.0,0.8034682080924855,16.88563502007905,31.0,346,278,11,15,0,normal
1,0.0,15,0.9885986338181084,0.9508569074973823,0.05172413793103448,0.0,0.603448275862069,18.475773492514918,33.0,58,35,3,2,0,normal
1,0.0,16,0.9783742628396435,0.9928664735161594,0.0,0.0,0.5263157894736842,20.14296224567898,23.0,38,20,0,1,0,normal
